ID,Response
50883,0
50884,0
50885,0
50886,0
50887,0
50888,0
50889,0
50890,0
50891,0
50892,0
50893,0
50894,0
50895,1
50896,0
50897,0
50898,0
50899,0
50900,1
50901,0
50902,0
50903,0
50904,0
50905,0
50906,0
50907,1
50908,0
50909,0
50910,1
50911,0
50912,0
50913,0
50914,0
50915,1
50916,0
50917,1
50918,1
50919,0
50920,1
50921,0
50922,1
50923,0
50924,0
50925,0
50926,1
50927,1
50928,0
50929,0
50930,0
50931,0
50932,0
50933,1
50934,0
50935,0
50936,0
50937,0
50938,0
50939,0
50940,0
50941,1
50942,0
50943,0
50944,0
50945,0
50946,0
50947,0
50948,0
50949,1
50950,0
50951,0
50952,0
50953,0
50954,0
50955,0
50956,0
50957,0
50958,0
50959,0
50960,0
50961,0
50962,0
50963,1
50964,0
50965,1
50966,0
50967,0
50968,0
50969,1
50970,0
50971,0
50972,0
50973,0
50974,0
50975,1
50976,0
50977,0
50978,1
50979,0
50980,1
50981,0
50982,0
50983,0
50984,0
50985,0
50986,0
50987,0
50988,1
50989,0
50990,1
50991,0
50992,0
50993,0
50994,0
50995,0
50996,0
50997,0
50998,1
50999,0
51000,0
51001,0
51002,0
51003,0
51004,0
51005,0
51006,0
51007,1
51008,1
51009,0
51010,0
51011,0
51012,0
51013,0
51014,0
51015,0
51016,0
51017,1
51018,0
51019,0
51020,0
51021,0
51022,0
51023,0
51024,0
51025,0
51026,0
51027,0
51028,1
51029,0
51030,0
51031,0
51032,0
51033,0
51034,0
51035,0
51036,0
51037,0
51038,0
51039,0
51040,0
51041,0
51042,0
51043,0
51044,0
51045,0
51046,0
51047,0
51048,0
51049,1
51050,0
51051,1
51052,0
51053,0
51054,0
51055,1
51056,0
51057,1
51058,1
51059,0
51060,0
51061,0
51062,0
51063,0
51064,0
51065,0
51066,0
51067,0
51068,0
51069,1
51070,0
51071,0
51072,0
51073,0
51074,0
51075,0
51076,0
51077,0
51078,0
51079,0
51080,0
51081,0
51082,0
51083,0
51084,0
51085,0
51086,0
51087,1
51088,0
51089,0
51090,0
51091,1
51092,0
51093,0
51094,0
51095,0
51096,0
51097,0
51098,1
51099,0
51100,0
51101,0
51102,0
51103,0
51104,0
51105,1
51106,0
51107,0
51108,0
51109,0
51110,1
51111,0
51112,0
51113,0
51114,0
51115,0
51116,0
51117,0
51118,0
51119,0
51120,0
51121,0
51122,0
51123,0
51124,0
51125,0
51126,0
51127,0
51128,0
51129,0
51130,0
51131,0
51132,0
51133,0
51134,0
51135,0
51136,0
51137,0
51138,0
51139,1
51140,0
51141,0
51142,0
51143,0
51144,0
51145,0
51146,0
51147,0
51148,0
51149,0
51150,0
51151,0
51152,0
51153,0
51154,0
51155,1
51156,0
51157,0
51158,0
51159,0
51160,0
51161,0
51162,1
51163,1
51164,0
51165,0
51166,0
51167,0
51168,0
51169,0
51170,1
51171,0
51172,0
51173,0
51174,0
51175,1
51176,0
51177,0
51178,0
51179,0
51180,0
51181,0
51182,1
51183,0
51184,1
51185,0
51186,0
51187,0
51188,0
51189,0
51190,0
51191,0
51192,0
51193,0
51194,1
51195,0
51196,0
51197,0
51198,1
51199,1
51200,0
51201,0
51202,0
51203,0
51204,0
51205,1
51206,0
51207,0
51208,0
51209,0
51210,0
51211,0
51212,0
51213,1
51214,0
51215,0
51216,0
51217,0
51218,0
51219,0
51220,0
51221,0
51222,1
51223,0
51224,0
51225,1
51226,0
51227,0
51228,0
51229,0
51230,0
51231,0
51232,0
51233,0
51234,0
51235,0
51236,0
51237,0
51238,0
51239,0
51240,0
51241,0
51242,0
51243,0
51244,1
51245,0
51246,1
51247,0
51248,0
51249,0
51250,0
51251,0
51252,0
51253,0
51254,0
51255,0
51256,0
51257,0
51258,0
51259,0
51260,0
51261,0
51262,0
51263,0
51264,0
51265,0
51266,0
51267,0
51268,0
51269,0
51270,0
51271,0
51272,0
51273,0
51274,0
51275,0
51276,0
51277,1
51278,0
51279,0
51280,1
51281,0
51282,0
51283,0
51284,1
51285,0
51286,1
51287,0
51288,0
51289,0
51290,0
51291,0
51292,0
51293,0
51294,1
51295,0
51296,0
51297,0
51298,0
51299,0
51300,1
51301,1
51302,0
51303,0
51304,1
51305,1
51306,0
51307,1
51308,0
51309,0
51310,0
51311,0
51312,0
51313,0
51314,0
51315,0
51316,0
51317,0
51318,1
51319,0
51320,0
51321,0
51322,0
51323,0
51324,0
51325,0
51326,1
51327,0
51328,1
51329,0
51330,0
51331,1
51332,0
51333,0
51334,0
51335,0
51336,0
51337,0
51338,0
51339,0
51340,0
51341,0
51342,0
51343,0
51344,0
51345,0
51346,0
51347,0
51348,0
51349,0
51350,0
51351,0
51352,0
51353,0
51354,0
51355,0
51356,0
51357,0
51358,0
51359,0
51360,0
51361,0
51362,0
51363,0
51364,0
51365,0
51366,0
51367,0
51368,0
51369,0
51370,0
51371,1
51372,0
51373,0
51374,1
51375,1
51376,0
51377,0
51378,0
51379,1
51380,0
51381,0
51382,0
51383,0
51384,0
51385,0
51386,0
51387,0
51388,0
51389,0
51390,0
51391,0
51392,0
51393,0
51394,0
51395,1
51396,0
51397,0
51398,0
51399,0
51400,1
51401,1
51402,0
51403,1
51404,0
51405,0
51406,0
51407,0
51408,0
51409,0
51410,1
51411,0
51412,0
51413,0
51414,0
51415,0
51416,0
51417,0
51418,0
51419,0
51420,0
51421,0
51422,0
51423,0
51424,0
51425,0
51426,0
51427,0
51428,0
51429,0
51430,1
51431,1
51432,0
51433,0
51434,0
51435,0
51436,0
51437,0
51438,0
51439,0
51440,0
51441,0
51442,0
51443,0
51444,1
51445,0
51446,0
51447,0
51448,0
51449,1
51450,0
51451,0
51452,0
51453,0
51454,0
51455,0
51456,0
51457,0
51458,0
51459,0
51460,0
51461,0
51462,0
51463,0
51464,0
51465,0
51466,0
51467,0
51468,0
51469,0
51470,1
51471,0
51472,0
51473,0
51474,0
51475,0
51476,0
51477,0
51478,0
51479,0
51480,0
51481,1
51482,0
51483,0
51484,0
51485,0
51486,0
51487,1
51488,0
51489,0
51490,0
51491,1
51492,0
51493,1
51494,0
51495,0
51496,0
51497,0
51498,0
51499,1
51500,0
51501,0
51502,1
51503,0
51504,1
51505,0
51506,0
51507,0
51508,0
51509,0
51510,0
51511,1
51512,1
51513,0
51514,0
51515,1
51516,0
51517,0
51518,0
51519,0
51520,0
51521,1
51522,0
51523,0
51524,0
51525,0
51526,0
51527,0
51528,0
51529,0
51530,1
51531,0
51532,0
51533,0
51534,0
51535,0
51536,0
51537,0
51538,0
51539,0
51540,0
51541,0
51542,0
51543,0
51544,0
51545,1
51546,0
51547,0
51548,0
51549,0
51550,0
51551,0
51552,1
51553,0
51554,1
51555,0
51556,1
51557,0
51558,0
51559,0
